,year,population_access_to_electricity,access_to_clean_fuels_for_cooking,re_share_in_total_ec_in_percentage,electricity_from_renewables_twh,lowcarbon_electricity,primary_energy_consumption_per_capita_kwhperson,gdp_growth,gdp_per_capita,country_id
837,2018,99.52121,93.5,24.11,2.0,10.1833,9819.157,2.248480393,8824.194008,40
838,2019,99.8,93.6,21.54,2.99,15.309779,9606.213,-0.164839982,9125.878679,40
839,2020,100.0,93.8,32.63816497829233,3.13,16.827957,9007.181,-10.94834097,9477.852873,40
840,2000,100.0,100.0,3.08,0.0,0.0,31912.982,5.965310315,14388.34806,41
841,2001,100.0,100.0,3.03,0.0,0.0,31725.172,3.952560541,14821.44682,41
842,2002,100.0,100.0,3.16,0.0,0.0,30732.92,3.722956499,16093.21461,41
843,2003,100.0,100.0,3.24,0.0,0.0,32076.912,2.623286123,20252.23898,41
844,2004,100.0,100.0,3.29,0.0,0.0,30655.473,5.026343926,23792.62136,41
845,2005,100.0,100.0,3.34,0.0,0.0,33741.973,4.853003838,24959.25917,41
846,2006,100.0,100.0,3.5,0.0,0.0,32604.191,4.713828666,26729.3234,41
847,2007,100.0,100.0,4.33,0.0,0.0,32579.771,5.098068453,31244.92622,41
848,2008,100.0,100.0,5.47,0.01,0.19723865,32822.43,3.646811991,35397.36368,41
849,2009,100.0,100.0,6.31,0.03,0.57581574,31506.953,-2.015262359,32109.24251,41
850,2010,100.0,100.0,6.55,0.08,1.500938,30146.273,2.014695707,31023.63833,41
851,2011,100.0,100.0,7.66,0.17,3.4552846,29451.955,0.401437941,32396.38574,41
852,2012,100.0,100.0,8.69,0.26,5.508475,27326.793,-3.446822086,28912.15694,41
853,2013,100.0,100.0,9.83,0.33,7.692308,24232.332,-6.553078255,27729.1927,41
854,2014,100.0,100.0,9.59,0.31,7.142857,24039.48,-1.829309109,27163.33297,41
855,2015,100.0,100.0,10.51,0.4,8.810573,24580.83,3.383079712,23408.33668,41
856,2016,100.0,100.0,10.36,0.43,8.793456,26494.055,6.454554466,24605.92083,41
857,2017,100.0,100.0,11.03,0.43,8.6,26971.416,5.852540355,26608.87509,41
858,2018,100.0,100.0,12.11,0.48,9.486166,26633.77,5.692841724,29334.11093,41
859,2019,100.0,100.0,12.05,0.52,10.097087,26442.418,5.283187396,29206.07672,41
860,2020,100.0,100.0,32.63816497829233,0.6,12.371135,22852.852,-5.2289881,27527.84531,41
861,2000,100.0,100.0,5.94,2.28,21.769547,46362.195,3.441610056684874,13283.77434796745,42
862,2001,100.0,100.0,6.29,2.57,23.336027,47434.9,3.441610056684874,13283.77434796745,42
863,2002,100.0,100.0,7.28,2.99,28.592106,47543.316,3.441610056684874,13283.77434796745,42
864,2003,100.0,100.0,6.72,1.87,33.506462,50209.617,3.441610056684874,13283.77434796745,42
865,2004,100.0,100.0,7.13,2.74,34.69388,51439.855,3.441610056684874,13283.77434796745,42
866,2005,100.0,100.0,7.53,3.13,34.00464,50547.258,3.441610056684874,13283.77434796745,42
867,2006,100.0,100.0,7.88,3.52,35.345444,51379.383,3.441610056684874,13283.77434796745,42
868,2007,100.0,100.0,8.32,3.42,33.713116,50659.105,3.441610056684874,13283.77434796745,42
869,2008,100.0,100.0,8.99,3.72,36.347263,49488.312,3.441610056684874,13283.77434796745,42
870,2009,100.0,100.0,10.25,4.66,39.037235,47287.844,3.441610056684874,13283.77434796745,42
871,2010,100.0,100.0,10.95,5.91,39.78179,49083.73,3.441610056684874,13283.77434796745,42
872,2011,100.0,100.0,12.16,7.24,40.98304,47823.707,3.441610056684874,13283.77434796745,42
873,2012,100.0,100.0,12.8,8.07,44.325134,47515.48,3.441610056684874,13283.77434796745,42
874,2013,100.0,100.0,13.95,9.3,46.60228,46623.125,3.441610056684874,13283.77434796745,42
875,2014,100.0,100.0,14.85,9.17,46.465122,45633.582,3.441610056684874,13283.77434796745,42
876,2015,100.0,100.0,14.84,9.41,43.928745,44728.676,3.441610056684874,13283.77434796745,42
877,2016,100.0,100.0,14.77,9.39,40.836487,44110.195,3.441610056684874,13283.77434796745,42
878,2017,100.0,100.0,14.46,9.63,44.264397,46583.094,3.441610056684874,13283.77434796745,42
879,2018,100.0,100.0,14.72,9.43,45.302784,46420.684,3.441610056684874,13283.77434796745,42
880,2019,100.0,100.0,15.85,10.08,47.021107,45355.285,3.441610056684874,13283.77434796745,42
881,2020,100.0,100.0,32.63816497829233,10.39,50.442917,42025.31,3.441610056684874,13283.77434796745,42
882,2000,100.0,100.0,10.73,5.57,15.472222,44286.535,3.746862595,30743.54768,43
883,2001,100.0,100.0,11.12,5.85,15.509013,44250.59,0.823152998,30751.65435,43
884,2002,100.0,100.0,11.86,6.79,17.286152,44017.223,0.466345571,33228.69354,43
885,2003,100.0,100.0,12.72,8.07,17.48267,47297.21,0.390058556,40458.7774,43
886,2004,100.0,100.0,14.44,9.52,23.5527,44621.56,2.668219267,46511.59833,43
887,2005,100.0,100.0,16.12,9.8,27.049406,41866.43,2.336641308,48799.8256,43
888,2006,100.0,100.0,15.26,9.2,20.171015,46091.766,3.913007978,52026.99951,43
889,2007,100.0,100.0,17.69,10.3,26.201982,43548.508,0.909238928,58487.05497,43
890,2008,100.0,100.0,18.54,10.1,27.580559,41183.277,-0.512016745,64322.0635,43
891,2009,100.0,100.0,19.33,10.06,27.652557,38827.246,-4.90654773,58163.27688,43
892,2010,100.0,100.0,21.2,12.43,31.97839,41063.633,1.870991147,58041.39844,43
893,2011,100.0,100.0,23.83,14.17,40.232822,38406.094,1.336777767,61753.64713,43
894,2012,100.0,100.0,26.93,14.84,48.33876,35563.973,0.226499792,58507.50805,43
895,2013,100.0,100.0,27.05,15.96,45.941277,36936.71,0.933340972,61191.1937,43
896,2014,100.0,100.0,30.18,17.99,55.886925,35394.48,1.619393811,62548.98473,43
897,2015,100.0,100.0,32.89,18.93,65.43381,34312.848,2.342591108,53254.85637,43
898,2016,100.0,100.0,32.17,18.39,60.1964,34666.89,3.245956985,54663.99837,43
899,2017,100.0,100.0,35.2,21.8,70.25459,34656.133,2.821736341,57610.09818,43
900,2018,100.0,100.0,34.67,20.75,68.346504,34042.258,1.989537315,61591.92887,43
901,2019,100.0,100.0,37.52,23.07,78.17689,33139.277,2.114664208,59775.7351,43
902,2020,100.0,100.0,32.63816497829233,23.45,81.622,29380.422,-2.062124959,61063.31643,43
903,2000,56.37995,4.0,31.44,0.0,0.0,4762.17,3.441610056684874,768.1835703,44
904,2001,56.365143,4.1,31.68,0.0,0.0,4599.132,3.441610056684874,780.9039613,44
905,2002,49.7,4.2,32.44,0.0,0.0,4474.387,3.441610056684874,791.3841807,44
906,2003,56.315117,4.3,32.88,0.0,0.0,4541.9604,3.441610056684874,818.8687857,44
907,2004,56.2846,4.5,33.62,0.0,0.0,4353.0415,3.441610056684874,863.2360874,44
908,2005,56.253548,4.8,33.09,0.0,0.0,4054.5566,3.441610056684874,904.7366795,44
909,2006,55.5,5.0,33.01,0.0,0.0,3716.954,3.441610056684874,967.6795838,44
910,2007,56.199707,5.3,32.52,0.0,0.0,3787.3547,3.441610056684874,1052.719117,44
911,2008,56.182278,5.7,33.14,0.0,0.0,4150.3564,3.441610056684874,1223.852363,44
912,2009,56.17479,6.1,34.0,0.0,0.0,3531.1523,3.441610056684874,1267.317394,44
913,2010,56.17995,6.5,32.54,0.0,0.0,3942.1558,3.441610056684874,1343.275125,44
914,2011,56.20047,6.8,33.93,0.0,0.0,2921.8823,3.441610056684874,1451.548081,44
915,2012,54.6,7.2,32.48,0.0,0.0,3784.8132,3.441610056684874,1559.240651,44
916,2013,56.297474,7.8,34.04,0.0,0.0,3836.7073,3.441610056684874,2312.720948,44
917,2014,56.61884,8.1,30.82,0.0,0.0,4183.972,7.061543242,2464.294905,44
918,2015,57.578564,8.4,28.18,0.0,0.0,3626.9648,7.696085576,2658.949245,44
919,2016,58.675446,8.75,24.91,0.0,0.0,3409.7095,6.652650372,2802.166204,44
920,2017,60.2,9.0,24.13,0.0,0.0,3036.1372,5.403099843,2914.358197,44
921,2018,60.564186,9.3,27.84,0.0,0.0,3133.4805,8.407662666,3141.861711,44
922,2019,61.21193,9.5,27.92,0.0,0.0,2848.7866,7.770497257,3414.916178,44
923,2020,61.767082,9.65,32.63816497829233,0.0,0.0,2701.7908,0.5,3425.484176,44
924,2000,80.95181,81.0,11.06,0.03,42.857143,7741.9917,2.340219321,4787.801441,45
925,2001,82.27921,82.0,9.41,0.03,37.5,8312.158,-0.06384473,4883.003024,45
926,2002,87.7,82.8,13.6,0.03,42.857143,7820.6606,-2.827998893,4770.851894,45
927,2003,84.91362,83.6,10.56,0.03,37.5,8702.423,6.353137122,4897.308367,45
928,2004,86.22531,84.0,11.56,0.03,42.857143,10289.641,3.050690295,5216.872434,45
929,2005,87.536476,85.0,10.8,0.03,37.5,9846.587,0.655862269,5160.889141,45
930,2006,88.84951,85.5,9.88,0.03,37.5,9808.0205,4.659455486,5518.4232,45
931,2007,90.16706,86.3,8.68,0.02,25.0,11844.8545,6.352972439,5951.863413,45
932,2008,90.9,87.0,8.45,0.02,25.0,10663.4375,7.121057986,6468.944767,45
933,2009,92.82657,87.4,9.23,0.02,25.0,10826.458,-1.169590643,6903.145806,45
934,2010,94.17394,87.8,10.28,0.02,22.222221,11327.723,0.6726344,6967.364955,45
935,2011,95.536674,88.3,13.8,0.04,40.0,11478.59,-0.223550688,7065.460372,45
936,2012,96.91748,88.4,11.33,0.03,30.0,11020.953,-1.059000243,6849.455933,45
937,2013,98.31811,88.7,11.57,0.04,40.0,11020.252,-0.999940631,7016.380071,45
938,2014,99.73655,88.9,9.97,0.03,30.0,11281.383,4.447947365,7317.486143,45
939,2015,99.82902,89.3,8.8,0.02,20.0,11610.774,-2.691108924,7597.288894,45
940,2016,99.983536,89.3,10.88,0.04,36.363636,12128.221,2.556494913,8080.968623,45
941,2017,100.0,89.3,9.84,0.03,37.5,11274.687,-6.79942797,7274.517731,45
942,2018,100.0,89.1,8.3,0.02,33.333336,11557.899,2.214305241,7687.462963,45
943,2019,100.0,89.3,8.05,0.02,22.222221,11049.87,7.571391597,8516.280039,45
944,2020,100.0,88.9,32.63816497829233,0.04,25.0,10056.246,-16.60491154,7003.859021,45
945,2000,88.76493,84.1,19.11,0.75,9.270704,10094.044,4.66176228,2869.178139,46
946,2001,89.79136,84.7,18.89,0.7,7.1647897,9667.4,2.459516368,2977.43451,46
947,2002,89.74982,85.5,17.94,0.87,7.341772,10064.789,4.495103403,3110.325447,46
948,2003,89.173805,86.05,18.94,1.19,9.466986,9104.642,-1.345706185,2418.350422,46
949,2004,90.31657,86.4,20.67,1.6,14.31127,8357.8955,2.570134279,2487.329061,46
950,2005,90.14123,86.7,19.44,1.91,15.850622,9065.088,9.428236947,3932.784407,46
951,2006,90.11815,87.0,17.98,1.75,13.348589,8931.601,9.174355406,4109.033591,46
952,2007,96.87634,87.1,17.89,1.7,12.4269,9066.198,7.415951715,4707.795052,46
953,2008,97.576195,87.3,17.68,1.38,11.774744,8900.079,3.209504262,5087.983213,46
954,2009,97.85776,87.4,17.34,1.46,12.597066,8679.013,0.946155168,5039.403122,46
955,2010,98.14542,87.6,16.91,1.48,10.586553,8981.36,8.33965106,5555.392014,46
956,2011,97.89887,87.8,16.75,1.59,10.6568365,8723.768,3.133423003,5913.426649,46
957,2012,97.86705,87.9,16.48,1.93,12.222926,9560.256,2.717367897,6110.366576,46
958,2013,98.38586,88.2,16.55,2.19,13.090258,9002.167,4.875205093,6238.132367,46
959,2014,98.47098,88.5,17.28,1.64,10.079902,8537.962,7.05046369,6608.825501,46
960,2015,98.56036,89.0,14.88,1.32,7.806032,9354.642,6.927018772,6921.520594,46
961,2016,98.9,89.5,15.31,2.14,11.462239,9835.123,6.659200263,7280.88361,46
962,2017,100.0,90.0,16.87,2.94,15.465545,9591.366,4.666704677,7609.353275,46
963,2018,98.9,90.4,15.95,2.74,13.958228,10487.733,6.982527585,8050.644076,46
964,2019,99.0,90.9,13.98,2.36,12.247015,11098.332,5.05216802,8282.117131,46
965,2020,100.0,91.5,32.63816497829233,2.9,17.427885,9496.668,-6.720239373,7268.19691,46
966,2000,93.73226,87.8,19.43,7.53,72.753624,8246.84,1.091801564,1445.279324,47
967,2001,94.02462,88.75,17.05,7.0,65.17691,8211.651,4.0156299,1894.616196,47
968,2002,94.30939,89.8,17.1,7.45,64.50217,7965.1455,4.096776659,2172.101877,47
969,2003,94.973045,90.6,16.55,7.11,63.368984,8014.88,2.722877337,2425.851842,47
970,2004,94.86557,91.1,16.73,7.5,57.295647,8426.991,8.211020917,2691.277685,47
971,2005,95.83265,91.7,16.16,7.07,58.14145,8767.223,5.291308267,3002.138604,47
972,2006,96.31526,92.3,14.19,7.35,54.363903,9114.504,4.403526434,3328.884156,47
973,2007,96.812614,92.7,15.88,9.26,55.816757,9420.017,2.190063972,3567.837186,47
974,2008,97.20657,93.05,15.32,11.58,63.417305,9883.912,6.3571306,4249.01897,47
975,2009,96.47086,93.3,12.87,9.57,53.374233,9482.964,0.566491592,4231.619235,47
976,2010,97.46214,93.6,11.79,9.0,47.948853,10353.473,3.525298669,4633.591284,47
977,2011,96.872696,93.9,13.15,11.41,57.394367,10805.037,7.868140919,5200.555108,47
978,2012,97.19493,94.0,13.2,12.54,56.716415,11233.192,5.641962067,5682.046108,47
979,2013,98.034676,94.1,11.85,11.46,51.06952,11416.987,4.946511267,6056.331213,47
980,2014,98.97607,94.3,12.18,12.09,51.556503,11816.219,3.788868549,6377.093929,47
981,2015,98.82588,94.4,13.07,13.74,54.78469,11610.723,0.098872608,6124.490887,47
982,2016,98.7,94.4,14.75,16.37,60.316883,11399.546,-1.226383985,6060.092962,47
983,2017,99.2,94.4,17.05,20.44,73.41954,11658.197,2.368386526,6213.503127,47
984,2018,98.7,94.5,16.33,21.06,72.54564,12100.159,1.289291933,6295.934662,47
985,2019,99.09,94.45,17.73,25.2,78.04273,12160.402,0.012105103,6222.524653,47
986,2020,98.85,94.3,32.63816497829233,24.83,79.37979,10374.727,-7.750123377,5600.389615,47
987,2000,97.7,83.5,8.26,13.7,18.39667,7965.8477,3.441610056684874,13283.77434796745,48
988,2001,97.34408,86.7,7.82,15.2,19.150812,8143.846,3.441610056684874,13283.77434796745,48
989,2002,97.53618,89.4,7.35,12.93,15.245844,8202.89,3.441610056684874,13283.77434796745,48
990,2003,98.8,92.0,7.45,13.26,14.655171,8503.993,3.441610056684874,13283.77434796745,48
991,2004,97.90703,93.85,7.57,13.04,13.553685,8798.149,3.441610056684874,13283.77434796745,48
992,2005,99.4,95.5,6.48,13.07,12.669639,8844.943,3.441610056684874,13283.77434796745,48
993,2006,99.04,96.7,6.22,13.42,12.255708,9136.145,3.441610056684874,13283.77434796745,48
994,2007,98.46563,97.6,6.05,16.18,13.621822,9542.583,3.441610056684874,13283.77434796745,48
995,2008,99.8,98.2,6.17,15.44,12.42256,9921.167,3.441610056684874,13283.77434796745,48
996,2009,98.86971,98.8,5.9,13.86,10.526316,10077.901,3.441610056684874,13283.77434796745,48
997,2010,99.394554,99.1,5.57,14.63,9.127208,10258.876,3.441610056684874,13283.77434796745,48
998,2011,99.45216,99.4,5.53,14.55,9.262795,10516.576,3.441610056684874,13283.77434796745,48
999,2012,99.7,99.55,5.5,14.35,8.729241,10688.419,3.441610056684874,13283.77434796745,48
1000,2013,99.85039,99.7,5.49,14.66,8.71426,10368.022,3.441610056684874,13283.77434796745,48
1001,2014,99.8,99.8,5.59,15.36,8.762622,9999.618,3.441610056684874,13283.77434796745,48
1002,2015,99.3,99.8,5.45,15.64,8.39416,9943.54,3.441610056684874,13283.77434796745,48
1003,2016,100.0,99.8,5.31,15.5,8.176399,10278.024,3.441610056684874,13283.77434796745,48
1004,2017,100.0,99.9,5.1,15.53,7.8896565,10471.6455,3.441610056684874,13283.77434796745,48
1005,2018,100.0,99.9,5.23,17.31,8.671476,10286.719,3.441610056684874,13283.77434796745,48
1006,2019,100.0,99.9,5.3,20.75,10.662351,9919.544,3.441610056684874,13283.77434796745,48
1007,2020,100.0,99.9,32.63816497829233,20.83,11.004279,9153.989,3.441610056684874,13283.77434796745,48
1008,2000,84.51925,57.9,33.51,2.03,54.42359,4934.59,1.127906977,2001.540049,49
1009,2001,87.06383,59.95,33.11,2.33,61.477573,5098.644,0.87961366,2072.301591,49
1010,2002,87.54906,62.0,34.02,2.4,60.453403,5202.2905,1.572918448,2124.10182,49
1011,2003,86.96115,63.9,33.85,2.81,65.80796,5536.21,1.565393031,2209.497245,49
1012,2004,87.35705,65.8,33.33,2.73,62.903225,5513.2593,0.889404486,2278.43033,49
1013,2005,87.52584,67.7,34.08,3.07,65.180466,5701.853,2.710398073,2428.568879,49
1014,2006,89.20147,69.4,34.76,3.49,62.32143,6029.882,4.34481288,2631.822739,49
1015,2007,91.10956,71.4,28.24,3.51,61.36364,6277.061,1.859704695,2786.157774,49
1016,2008,91.00023,73.1,31.5,3.91,65.27546,6136.0747,2.126699102,2933.39424,49
1017,2009,91.08402,75.1,32.2,3.47,59.31624,5893.16,-2.087323805,2858.483344,49
1018,2010,91.58024,76.8,32.62,3.97,66.49917,6082.846,2.106741573,2983.228806,49
1019,2011,92.574684,78.7,29.52,4.12,67.651886,6068.4243,3.817056396,3266.010978,49
1020,2012,93.68057,80.3,30.27,4.18,66.773155,6096.5063,2.815501822,3428.409332,49
1021,2013,95.043106,82.1,27.54,4.12,65.70973,5903.0894,2.232142857,3509.526536,49
1022,2014,95.12542,84.0,23.95,4.14,66.34615,6015.019,1.710709945,3589.042885,49
1023,2015,95.4,85.5,21.03,3.57,59.400997,6200.172,2.398973133,3705.579704,49
1024,2016,96.0,86.9,20.71,3.68,61.12957,6231.5947,2.545926086,3805.995686,49
1025,2017,96.8,88.2,24.99,3.94,71.76685,6173.1143,2.246670039,3910.254403,49
1026,2018,97.0,89.4,23.21,3.95,74.10882,6645.676,2.432287587,4052.624775,49
1027,2019,97.36,90.75,19.39,4.15,69.28214,7271.5205,2.382581398,4167.730939,49
1028,2020,100.0,91.8,32.63816497829233,4.97,79.39297,6715.608,-8.581312158,3798.636521,49
1029,2000,65.55956,19.0,45.85,0.01,11.111111,4751.2705,18.21377996,1725.557584,50
1030,2001,65.57119,19.5,46.12,0.01,16.666668,2574.472,63.37987543,2313.165937,50
1031,2002,65.57523,19.4,31.31,0.01,9.090909,37471.24,19.46283404,2744.191483,50
1032,2003,65.57404,19.6,29.49,0.01,8.333334,38771.44,13.95525032,3618.544476,50
1033,2004,65.56997,20.1,7.2,0.01,5.882353,7523.655,37.99872686,6152.131238,50
1034,2005,65.56535,20.8,7.1,0.01,5.0,26154.957,16.74870061,10963.40638,50
1035,2006,65.562614,21.3,6.99,0.01,3.846154,30517.992,7.704917607,12857.36882,50
1036,2007,65.56439,21.7,8.49,0.01,3.125,32212.723,15.28211392,15908.41119,50
1037,2008,65.57341,22.1,7.23,0.05,10.869565,30431.822,17.79910913,22942.6101,50
1038,2009,65.59236,22.5,9.24,0.05,9.803922,30738.887,1.343356288,16668.1217,50
1039,2010,66.157265,22.7,5.74,0.03,5.172414,28152.885,-8.924175889,17288.8426,50
1040,2011,66.1,23.35,5.58,0.03,4.6153846,28943.424,6.52392363,21641.6939,50
1041,2012,65.73595,24.0,4.42,0.08,10.666667,26990.076,8.312871844,21711.15159,50
1042,2013,65.82081,23.6,3.68,0.25,26.041668,26720.799,-4.133198501,20390.73727,50
1043,2014,65.92347,23.9,4.2,0.38,34.862385,24158.016,0.415066302,19394.08066,50
1044,2015,66.04098,24.0,4.56,0.47,36.153847,20745.453,-9.110041149,11283.39805,50
1045,2016,66.17036,23.9,3.95,0.47,33.57143,19728.445,-8.816417232,9250.316493,50
1046,2017,66.30864,24.2,3.54,0.44,32.83582,21365.682,-5.667502957,9667.857801,50
1047,2018,66.45286,24.1,4.91,0.44,32.59259,18711.834,-6.236550982,10005.61679,50
1048,2019,66.600044,24.0,6.58,0.45,32.142857,17644.693,-5.978936905,8419.933336,50
1049,2020,66.74773,24.5,32.63816497829233,0.49,34.751774,11328.123,-4.893356474,7143.238705,50
1050,2000,29.25451,3.5,76.62,0.0,0.0,1086.2354,-3.141985903,308.1341868,51
1051,2001,30.352562,3.9,74.68,0.0,0.0,1156.5769,8.755435528,316.8239534,51
1052,2002,32.2,4.4,74.67,0.0,0.0,1019.1684,3.005429192,293.9556724,51
1053,2003,32.52826,4.9,74.89,0.0,0.0,1172.7673,-2.655515925,334.5855715,51
1054,2004,33.610603,5.4,69.91,0.0,0.0,1226.452,1.451735566,407.769077,51
1055,2005,34.69241,5.8,74.65,0.0,0.0,1197.5035,2.574449551,388.5959475,51
1056,2006,35.776093,6.4,78.34,0.0,0.0,809.80237,-0.969217111,415.0360305,51
1057,2007,36.864292,6.8,79.8,0.0,0.0,818.4819,1.426822211,439.8321034,51
1058,2008,37.959724,7.4,81.72,0.0,0.0,569.351,-9.783030018,450.6323989,51
1059,2009,39.065098,7.7,81.63,0.0,0.0,670.50433,3.876501528,595.1099872,51
1060,2010,40.18312,8.0,81.07,0.0,0.0,654.88983,2.194190349,501.355317,51
1061,2011,41.3165,8.3,79.71,0.0,0.0,655.3532,8.679800101,642.5082588,51
1062,2012,42.46795,8.6,78.14,0.0,0.0,686.76117,3.441610056684874,13283.77434796745,51
1063,2013,43.63923,8.9,78.14,0.0,0.0,691.8338,3.441610056684874,13283.77434796745,51
1064,2014,44.828312,8.9,77.8,0.0,0.0,716.5409,3.441610056684874,13283.77434796745,51
1065,2015,46.03224,9.0,77.56,0.0,0.0,707.84283,3.441610056684874,13283.77434796745,51
1066,2016,47.24804,9.0,77.31,0.0,0.0,715.03436,3.441610056684874,13283.77434796745,51
1067,2017,48.472744,9.2,75.37,0.01,2.4390244,778.28644,3.441610056684874,13283.77434796745,51
1068,2018,49.703384,9.1,74.03,0.01,2.3255813,876.1487,3.441610056684874,13283.77434796745,51
1069,2019,50.936993,9.2,73.67,0.01,2.2727273,936.4785,3.441610056684874,13283.77434796745,51
1070,2020,52.171097,9.3,32.63816497829233,0.01,2.3809524,881.5875,3.441610056684874,13283.77434796745,51
1071,2000,100.0,100.0,19.83,0.01,0.11750881,39722.04,10.08763444,4070.609024,52
1072,2001,100.0,100.0,18.93,0.02,0.23557127,41673.484,6.003674251,4505.858332,52
1073,2002,100.0,100.0,19.41,0.03,0.3516999,41766.36,6.77136793,5341.628947,52
1074,2003,100.0,100.0,19.82,0.05,0.492126,45834.83,7.600265185,7203.523038,52
1075,2004,100.0,100.0,19.97,0.06,0.58195925,47047.777,6.804007771,8914.103557,52
1076,2005,100.0,100.0,18.85,0.11,1.0784314,47588.28,9.526426972,10412.64431,52
1077,2006,100.0,100.0,17.18,0.13,1.3360741,47286.48,9.76558337,12639.40007,52
1078,2007,100.0,100.0,18.56,0.14,1.1494253,55017.598,7.57914052,16744.58445,52
1079,2008,100.0,100.0,20.29,0.2,1.8903592,50750.434,-5.132000958,18204.96648,52
1080,2009,100.0,100.0,24.13,0.54,6.1503425,43997.6,-14.62905503,14711.73527,52
1081,2010,100.0,100.0,25.35,1.05,8.095605,54935.6,2.444265118,14663.04461,52
1082,2011,100.0,100.0,24.98,1.18,9.154383,54965.695,7.263084581,17464.92008,52
1083,2012,100.0,100.0,24.88,1.47,12.29097,55555.875,3.228200494,17404.2008,52
1084,2013,100.0,100.0,24.43,1.23,9.262049,58773.523,1.458428636,19050.58592,52
1085,2014,100.0,100.0,25.3,1.39,11.164659,56413.82,3.011366587,20234.11742,52
1086,2015,100.0,100.0,28.16,1.56,15.369459,52196.047,1.853020046,17395.04062,52
1087,2016,100.0,100.0,27.24,1.59,13.064914,53774.246,3.155564814,18282.92339,52
1088,2017,100.0,100.0,27.53,1.86,14.1337385,59568.55,5.792044675,20387.28315,52
1089,2018,100.0,100.0,28.59,1.99,16.087309,58899.945,4.133819798,23052.30126,52
1090,2019,100.0,100.0,31.29,2.14,28.120895,47295.336,4.096342644,23397.12001,52
1091,2020,100.0,100.0,32.63816497829233,2.97,48.848686,44218.28,-2.951069313,23027.027,52
1092,2000,20.195763,24.3,59.39,0.55,90.16393,6083.903,1.76017376,1728.710498,53
1093,2001,26.9,25.4,61.24,0.57,90.47619,6071.866,1.054764906,1521.769075,53
1094,2002,25.80867,26.4,63.65,0.59,90.769226,6199.8135,4.380099088,1405.448706,53
1095,2003,28.606096,27.8,65.59,0.5,89.28571,5659.059,3.880213586,2148.632475,53
1096,2004,31.400637,29.3,65.64,0.47,88.67925,5462.625,3.623914226,2699.130742,53
1097,2005,34.19464,30.1,66.56,0.54,90.0,5620.2163,5.99877655,3083.838141,53
1098,2006,35.2,31.8,71.42,0.54,90.0,5687.314,5.992166838,3176.691168,53
1099,2007,39.790913,33.7,71.35,0.57,90.47619,5892.16,4.435375577,3327.445134,53
1100,2008,42.59854,35.3,72.68,0.54,90.0,5664.233,0.821663914,3137.387266,53
1101,2009,38.6,37.1,70.83,0.57,90.47619,5503.006,1.565048852,3385.858846,53
1102,2010,45.552338,39.1,72.39,0.58,90.625,5146.958,3.793754968,4168.489403,53
1103,2011,51.148006,41.0,72.52,0.68,95.77465,5236.0625,2.247229761,4496.613361,53
1104,2012,54.366226,42.7,71.41,0.7,94.5946,5162.853,5.396630697,4527.565039,53
1105,2013,57.562515,44.2,69.7,0.77,95.06173,5053.2617,3.861213798,4230.171266,53
1106,2014,65.0,46.3,71.67,0.61,93.84616,5096.1387,0.923230547,4039.159341,53
1107,2015,64.01241,47.6,71.68,0.51,92.72727,5016.5044,2.227480675,3680.349473,53
1108,2016,63.43,49.2,69.61,0.52,92.85714,5267.826,1.062610193,3425.531957,53
1109,2017,73.5,50.6,65.54,0.63,94.02985,5553.8486,2.026578156,3914.418484,53
1110,2018,73.91578,52.4,66.07,0.71,94.666664,5823.5767,2.371610521,4105.893683,53
1111,2019,76.86944,53.8,65.95,0.67,94.3662,5780.252,2.61303529,3915.643467,53
1112,2020,79.7305,55.4,32.63816497829233,0.7,94.5946,5614.8906,-1.85052471,3424.282212,53
1113,2000,12.7,0.9,95.55,1.64,96.47059,287.99124,6.07321748,124.4607909,54
1114,2001,10.162491,0.9,94.6,1.98,97.05882,304.5467,8.301306321,120.7657837,54
1115,2002,11.854834,1.0,94.53,2.01,97.101456,303.84665,1.514725706,111.9272251,54
1116,2003,13.541941,1.0,94.23,2.27,97.4249,319.22073,-2.161359722,119.490396,54
1117,2004,15.226162,1.1,94.13,2.51,97.665375,331.65744,13.57260314,136.46625,54
1118,2005,14.0,1.1,94.73,2.82,97.916664,370.1885,11.81876595,162.4327286,54
1119,2006,18.595404,1.3,94.54,3.24,98.181816,394.91357,10.83472707,194.6874329,54
1120,2007,20.28548,1.4,94.16,3.37,95.19774,424.85315,11.456167,244.2860523,54
1121,2008,21.98279,1.6,94.09,3.31,88.26667,432.32028,10.78852169,326.4368228,54
1122,2009,23.690039,1.9,94.18,3.55,89.420654,434.64044,8.802553198,380.5690032,54
1123,2010,25.409937,2.1,94.11,4.91,98.3968,468.26212,12.55053835,341.5541227,54
1124,2011,23.0,2.5,93.56,6.25,98.8924,514.24506,11.17829623,354.4795719,54
1125,2012,28.89852,2.9,93.3,7.51,99.4702,557.1035,8.647811633,467.0778718,54
1126,2013,30.671673,3.2,92.49,8.64,99.653984,632.63324,10.58227005,499.5315302,54
1127,2014,27.2,3.7,91.25,9.45,99.7888,697.6292,10.25749296,566.9264029,54
1128,2015,29.0,4.3,91.56,10.37,99.8075,715.42474,10.39246302,640.5419231,54
1129,2016,42.9,4.9,90.49,12.46,99.91981,807.2398,9.433482658,717.1248698,54
1130,2017,44.3,5.45,90.22,13.12,99.923836,794.97723,9.564189643,768.5230154,54
1131,2018,44.9406,6.2,89.42,13.78,99.92748,823.5834,6.816147797,771.5248663,54
